NOM;ADR1;CP;VILLE;TEL;FAX;TARIF1;TARIF2;TARIF3;TARIF_AUTRE;MICRO_ONDE;MICRO_ONDE_COLL;KITCHENETTE;FRIGO;CUISINE_COLL;WC_CHAMBRE;WC_PALIER;DOUCHE_CHAMBRE;DOUCHE_PALIER;ITINERAIRE;OBS
ANJOU;09 Rue de la Solidarit�;93100;MONTREUIL;01 42 87 89 59;01 48 59 28 24;16,23;32,46;0;;VRAI;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;"LIGNE 9 MAIRIE DE MONTREUIL
BUS 115 ARRET SOLIDARITE";RECEPTION OUVERTE JUSQU'� 20H
HOTEL BELFORT;33 boulevard paul vaillant couturier;93100;MONTREUIL;01 42 87 50 03;01 42 87 50 03;40;20;15,66;0;FAUX;VRAI;FAUX;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;"LIGNE 9 ARRET MAIRIE DE MONTREUIL
PRENDRE SORTIE PAUL VAILLANT COUTURIER";
FORMULE 1 NOISY;Boulevard du Ru de Nesle;93160;NOISY LE GRAND;08 91 70 52 95;01 43 03 70 07;35,4;38,4;0;;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;RER A STATION NOISY CHAMPS;0143037028
HOTEL ROYAL MONTREUIL;59 Rue de Paris;93100;MONTREUIL;01 42 87 13 39;01 42 87 31 33;43;21,5;15,666666;0;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;LIGNE 9 ARRET CROIX DE CHAVAUX;
RESIDENCE NOISY;421 La closerie Mont d'est;93160;NOISY le GRAND;01 55 85 15 85;01 55 85 15 86;45;60;75;120;VRAI;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;"RER A ARRET NOISY LE GRAND MONT D'EST
SORTIE CENTRE COMMERCIAL";
HOTEL STRASBOURG;43 BOULEVARD DE STRASBOURG;93600;AULNAY/BOIS;01 48 66 60 38;;30;15;13;;VRAI;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;<div>RER B descendre � Aulnay Sous Bois prendre bus 615: MAR�CHAL LECLERC h�tel juste en face</div>;il y a des chambres o� il n'y a pas de possibilit� de cuisiner
HOTEL OASIS DRANCY;237 Avenue Jean Jaur�s;93700;DRANCY;06 50 41 64 29;01 48 30 25 40;32;16;0;;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;VRAI;"<div>RER B : Direction Roissy Charles De Gaulle Descendre a la station &nbsp;Le Bourget &nbsp;Prendre le Bus 143 descendre � la station Bois d'Amour &nbsp;l'h�tel est juste en face</div>

<div>0665587197 Mr ELATMANI</div>";
SAXO;90 Av Gallieni;93140;BONDY;01 48 49 90 16;01 48 49 57 84;14,33;45;50;;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;;
ROYAL MAD;68 RUE SEDAINE;75011;PARIS;01 43 57 70 50;01 48 05 87 24;32;16,5;33;;FAUX;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;METRO 9 ARRET VOLTAIRE;
CENTRAL;69 RUE  JEAN JAUR7S;92300;LEVALLOIS PERRET;01 47 37 73 33;01 70 71 94 95;30;45;0;;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;;envoyer mail et non fax pour les factures de renouvellement
PICHET D'ETAIN;158 Grande Rue;93250;VILLEMOMBLE;01 49 35 18 75;01 49 35 18 75;28;42;56;;VRAI;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;"RER E Arr�t GAGNY 
OU BUS 121 De MAIRIE DE MONTREUIL ARRET BOULEVARD ANDRE";
HOTEL DU Globe;198 RUE ST MAUR;75010;PARIS;01 42 02 15 89;01 40 03 07 61;16,23;32,46;0;;VRAI;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;METRO 2 OU 11 STATION BELLEVILLE OU GONCOURT;"PAS DE RECEPTION
et toutes les chambres n'ont pas de sanitaire � l'int�rieur"
JAURES;164 rue jean jaur�s;94700;Maisons Alfort;01 43 75 56 97;01 43 75 57 06;35;28;0;;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;;
Classic;2 Avenue Erable;94440;SANTENY;01 43 86 15 16;01 43 86 14 41;28;42;56;;VRAI;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;"RER A Gare Boissy St l�ger 
BUS 12 ou 21 ARRET LIBERATION";reception ouverte 24h/24
RESIDENCE PETIT PAVILLON/LE PETIT VALMY;142 Boulevard VALMY;92700;COLOMBES;01 41 19 93 69;01 41 19 93 69;13;26;39;;VRAI;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;"Par METRO : Ligne 13 en direction de ASNIERES GENNEVILLIERS
Arr�t : Les COURTILLES, prendre BUS 235 direction de ""EUROPE""
Arr�t : VALMY / GAMBETTA
Par TRAIN : Ligne  42 SNCF - Drection ERMONT EAUBONNE
Arr�t : STADE - Prendre Bld de Finland � pied jusqu'au Bld Valmy.";"Visite effectuer le 08/03/2017 et �tat jug� satisfaisant:
2 QUAD TOUT COMPRIS, 2 DOUBLES + 2 TRIPLES AVEC KICHINET ET SANITAIRES COLLECTIVES"
AIR HOTEL;90 AVENUE DU 8 MAI 1945;93150;BLANC MESNIL;01 48 67 20 37;01 45 91 24 20;16;32;48;;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;RER B ARRET LE BOURGET PUIS PRENDRE LE BUS 133 JUSQU'A L�ARRET PIERRE CURIE ENSUITE LE BUS 152 JUSQU'A L�ARRET DIDEROT;
BAINS;132 RUE JEAN JAURES;94400;MAISONS ALFORT;01 43 75 78 09;01 43 96 23 74;35;0;0;;FAUX;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;;18/04: j'ai eu monsieur souni qui indique ne pas �tre g�rant de cet h�tel, peut �tre erreur sur num�ro
HOTEL DE PARIS PANTIN;67 avenue Jean Lolive;93500;PANTIN;01 48 45 40 23;01 48 45 39 14;30;15;0;0;VRAI;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;"PRENDRE LE TRAM T 3b Direction porte de la chapelle 
jusqu'� l'arret porte de pantin - parc de la villette";
Mister Bed;4 rue Charlie Chaplin;77200;TORCY;01 60 05 10 50;01 60 06 56 08;87;58;0;;VRAI;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;;
RESIDENCE CENGIZ AUBERVILLIERS;75 avenue de la R�publique;93300;AUBERVILLIERS;;01 40 25 02 00;12,77777778;17,5;16,9354;12,365591;VRAI;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;Bus 170 direction St-Denis arr�t : rue des cites;
ARIM;5-13 avenue Henri Barbusse;93000;BOBIGNY;01 56 96 11 11;01 48 40 69 04;60;0;0;;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;;
R�sidence Kevin 2;132 rue Oberkamph;75011;Paris;06 03 13 33 72;01 40 25 02 00;10,08;0;0;;VRAI;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;;
R�sidence du Landy;150 rue Landy;93210;SAINT DENIS;01 47 93 56 11;01 47 93 76 65;12,5;25;37,5;50;VRAI;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;;
H�tel de la Reine;156 route de la reine;92100;BOULOGNE BILLANCOURT;;01 46 03 60 09;15;45;60;75;VRAI;VRAI;FAUX;VRAI;FAUX;FAUX;VRAI;FAUX;VRAI;"LIGNE 10 DIRECTION BOULOGNE BILLANCOURT PONT DE SAINT CLOUD TERMINUS
PRENDRE LA SORTIE EST SUR L'AVENUE DU MARECHAL DE LATTRE DE TASSIGNY";Tarif accommodation pass� � 15� � compter du 01/09/11
HOTEL ROYAL PANTIN;29 avenue du G�n�ral Leclerc;93500;PANTIN;01 41 71 33 71;01 48 45 41 73;40;20;16,6666;30;VRAI;FAUX;VRAI;VRAI;FAUX;VRAI;FAUX;VRAI;FAUX;"tram 3b direction porte de la chapelle
jusqu'� delphine seyrig
puis 1 min � pieds";"M; ALI"
EGG HOTEL;1 avenue Alexei Leonov;93270;SEVRAN;01 43 84 43 96;;45;15;;;FAUX;VRAI;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;FAUX;<div>Par RER B : Station Sevran Beaudotte, ensuite � 3 mn � pied</div>;"Etablissement g�r� par un couple : Mme CORSEV Tatiama (0610181353) et Mr FRUCHARD Julien (0628702964)
Ouverture : 6h 11h 17h-21"
FORMULE 1 AULNAY-SOUS-BOIS;Rue Robert Br�mond;93600;AULNAY SOUS BOIS;08 91 70 51 68;;17,5;35;0;;FAUX;VRAI;FAUX;FAUX;FAUX;FAUX;VRAI;FAUX;VRAI;;
