INTITULE;ADR1;ADR2;CP;VILLE;TEL;FAX;PORTABLE;NOM_ASSIST;TARIF;TARIF2;TARIF3;TARIF4;OBS;CG;SECTION;RESPONSABLE;SECTEUR
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;93000;BOBIGNY;01 41 60 99 60;x;01 41 60 99 79;MME  SANON;35;17,5;17,5;0;Circonscription Sociale Spécialisée D'accueil des Publics en Errance;CG93;SDAF;x;SECTEUR 4
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;93210;SAINT DENIS;01 49 33 66 59;x;x;MME CORDEIRO;35;17,5;17,5;0;x;CG93;SDAF;x;SECTEUR 1
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;93100;MONTREUIL;01 71 29 56 65;x;x;MME LEWITANSKI;35;17,5;17,5;0;x;CG93;SDAF;x;SECTEUR 3
AIDE SOCIALE A L'ENFANCE;x;x;93160;NOISY LE GRAND;01 71 29 22 45;x;x;MME DAVID;35;17,5;17,5;0;x;CG93;ASE;x;x
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;93800;EPINAY SUR SEINE;01 71 29 43 80;x;x;MME MANADI;35;17,5;17,5;0;x;CG93;SDAF;x;SECTEUR 1
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;93390;CLICHY SOUS BOIS;01 71 29 44 00;x;x;Mme ABBE-TSALA;35;17,5;17,5;0;x;CG93;SDAF;x;SECTEUR 2
DIRECTION ENFANCE FAMILLE;x;x;93000;BOBIGNY;01 71 29 22 00;x;x;MME LOSBAR;35;17,5;17,5;0;MAIRIE: 01 41 60 93 53;CD 13;x;x;x
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;93600;AULNAY SOUS BOIS;01 48 79 40 18;01 43 93 40 64;x;MME ABDOULAYE;35;17,5;17,5;0;INSTRUCTEUR: Mme OUNNAS Josette;CG93;SDAF;x;SECTEUR 3
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;90 AV DU 8MAI 1945;x;93700;DRANCY;01 71 29 53 40;01 57 14 74 80;x;MME GUILBERT;35;17,5;17,5;0;x;CG93;SDAF;x;SECTEUR 4
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;93250;VILLEMOMBLE;01 71 29 58 00;x;x;Mme PLEIBER;35;17,5;17,5;0;x;CG93;SDAF;x;SECTEUR 5
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;93140;BONDY;01 71 29 59 10;01 48 49 60 83;x;MME POULET;35;17,5;17,5;0;x;CG93;SDAF;GLODEAU;SECTEUR 5
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;93500;PANTIN;01 49 15 41 56;01 49 15 39 09;x;MME ABDOULAYE;35;17,5;17,5;0;x;CG93;SDAF;x;SECTEUR 3
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;93290;tremblay en France;01 71 29 44 50;x;x;Mme REZZOUS;35;17,5;17,5;0;x;CG93;SDAF;x;SECTEUR 2
AIDE SOCIALE A L'ENFANCE;x;x;93310;LE PRÉ SAINT GERVAIS;01 71 29 56 15;01 48 40 54 63;x;Mme AZOULAY;35;17,5;17,5;;x;CG93;ASE;x;x
AIDE SOCIALE A L'ENFANCE;x;x;93120;LA COURNEUVE;01 71 29 54 95;x;01 71 29 54 65;Mme HARRAK;35;17,5;17,5;0;x;CG93;ASE;x;x
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;93160;NOISY LE GRAND;01 49 33 66 59;x;x;MME PLICHARD/MME JEANNEL;35;17,5;17,5;0;x;CG93;SDAF;x;SECTEUR 5
AIDE SOCIALE A L'ENFANCE;x;x;93270;sevran;01 71 29 21 10;01 49 36 12 64;x;MME CORVISIER;35;17,5;17,5;;x;CG93;ASE;x;x
SERVICE DEPARTEMENTAL DES AIDES FINANCIERES;x;x;93260;LES LILAS;01 41 58 10 41;x;x;MME HAMAOUI;35;17,5;17,5;0;x;CG93;SDAF;x;SECTEUR 3
Action Sociale Municipale;x;x;93600;AULNAY SOUS BOIS;01 48 66 72 19;01 48 79 40 19;x;Mlle NICE;18;36;;;x;CG93;AUTRE;x;x
